purchase_id,user_id,product_id,date,quantity
1,52,9,2022-01-01,1
2,93,37,2022-01-02,8
3,15,33,2022-01-03,1
4,72,42,2022-01-04,9
5,61,44,2022-01-05,6
6,21,24,2022-01-06,7
7,83,15,2022-01-07,7
8,87,32,2022-01-08,3
9,75,32,2022-01-09,2
10,75,24,2022-01-10,9
11,88,41,2022-01-11,8
12,100,49,2022-01-12,7
13,24,49,2022-01-13,9
14,3,12,2022-01-14,4
15,22,39,2022-01-15,4
16,53,2,2022-01-16,1
17,2,3,2022-01-17,8
18,88,49,2022-01-18,3
19,30,37,2022-01-19,7
20,38,49,2022-01-20,2
21,2,17,2022-01-21,2
22,64,49,2022-01-22,7
23,60,2,2022-01-23,6
24,21,2,2022-01-24,3
25,33,28,2022-01-25,9
26,76,23,2022-01-26,6
27,58,37,2022-01-27,6
28,22,32,2022-01-28,1
29,89,33,2022-01-29,4
30,49,1,2022-01-30,6
31,91,19,2022-01-31,6
32,59,2,2022-02-01,5
33,42,44,2022-02-02,1
34,92,26,2022-02-03,8
35,60,32,2022-02-04,5
36,80,6,2022-02-05,5
37,15,32,2022-02-06,7
38,62,4,2022-02-07,4
39,62,11,2022-02-08,6
40,47,17,2022-02-09,4
41,,38,2022-02-10,3
42,51,24,2022-02-11,7
43,55,5,2022-02-12,8
44,64,34,2022-02-13,4
45,3,6,2022-02-14,2
46,51,22,2022-02-15,3
47,7,11,2022-02-16,1
48,21,48,2022-02-17,8
49,73,16,2022-02-18,3
50,39,33,2022-02-19,
51,18,9,2022-02-20,5
52,4,6,2022-02-21,5
53,89,16,2022-02-22,7
54,60,29,2022-02-23,9
55,14,3,2022-02-24,5
56,9,20,2022-02-25,1
57,90,36,2022-02-26,1
58,53,19,2022-02-27,2
59,2,26,2022-02-28,6
60,84,3,2022-03-01,9
61,92,19,2022-03-02,8
62,60,20,2022-03-03,5
63,71,32,2022-03-04,1
64,44,7,2022-03-05,7
65,8,41,2022-03-06,5
66,47,33,2022-03-07,6
67,35,40,2022-03-08,7
68,78,39,2022-03-09,3
69,81,18,2022-03-10,3
70,36,40,2022-03-11,5
71,50,1,2022-03-12,6
72,4,11,2022-03-13,9
73,2,28,2022-03-14,5
74,6,25,2022-03-15,1
75,54,50,2022-03-16,4
76,4,23,2022-03-17,5
77,54,31,2022-03-18,5
78,93,30,2022-03-19,7
79,63,42,2022-03-20,4
80,18,35,2022-03-21,1
81,90,7,2022-03-22,5
82,44,16,2022-03-23,7
83,34,26,2022-03-24,6
84,74,48,2022-03-25,5
85,62,49,2022-03-26,4
86,100,2,2022-03-27,2
87,14,1,2022-03-28,4
